history_id,station_name,province,lon,lat,elev (m),HDD (degC-day),Tmean (degC),Tmax (degC),Tmin (degC)
2548,STETTLER NORTH,AB,-112.717,52.3333,821,5458.621429,3.289487719,23.025,-31.15
2560,TOFIELD NORTH,AB,-112.75,53.55,701,5407.66087,3.394039099,21.8137931,-30.05517241
2562,TULLIBY LAKE,AB,-110.133,53.6667,574,6009.8125,2.538220843,24.4,-33.18181818
2570,VEGREVILLE CDA,AB,-112.033,53.4833,636,5697.38,2.350609105,23.11666667,-33.89166667
2585,VIOLET GROVE CS,AB,-115.126,53.1436,914,5197.433333,4.190556381,20.61818182,-26.40909091
2595,VEGREVILLE,AB,-112.098,53.5053,639,5818.080952,2.38010608,21.6,-32.93913043
2600,WETASKIWIN SOUTH,AB,-113.383,52.6333,762,5176.55,3.888030172,23.29333333,-28.9
2601,WINFIELD,AB,-114.583,52.95,910,5401.305,3.397098758,21.85,-29.25
2612,ESTHER 1,AB,-110.206,51.6697,707,5342.36,3.711448049,22.90909091,-29.3
2616,HORBURG,AB,-115.2,52.4,1036,5036.19,3.896499255,22.03,-25.92
2618,UNIVERSITY OF ALBERTA METABOLIC CENTRE,AB,-113.533,53.5167,668,5527.8,3.744594171,23.93333333,-30.68888889
2623,REDWATER,AB,-113.183,54,617,6030.015385,1.591738248,21.91428571,-34.20714286
2624,RED WILLOW,AB,-112.567,52.4167,783,5382.38,3.144167759,21.18333333,-30.24166667
2647,BIG STONE,AB,-111.2,51.1667,774,5224.792308,3.62952056,23.91333333,-31.33333333
2676,CRAIGMYLE,AB,-112.283,51.7667,846,5353.371429,3.736130856,23.99130435,-30.2173913
2692,ECKVILLE SOUTH,AB,-114.391,52.2847,960,5431.723077,2.834582771,21.92857143,-28.72142857
2693,DRUMHELLER EAST,AB,-112.677,51.4453,678,5043.729412,4.293875,23.085,-29.145
2695,EMPRESS,AB,-110.006,50.9558,612,5049.126316,4.67744167,27.125,-31.785
2702,GEM,AB,-112.189,50.9497,764,5091.14,4.420857558,22.96666667,-29.36666667
2716,JENNER,AB,-111.196,50.7222,755,4863.85,5.02159539,23.80769231,-29.57692308
2730,MADDEN,AB,-114.324,51.5042,1138,5159.91875,4.118022865,21.85,-27.6625
2732,MIRROR FLETCHER,AB,-113.05,52.45,795,5335.233333,3.105251496,21.06,-28.22666667
2738,OLDS,AB,-114.1,51.7833,1040,5336.763636,3.529610516,21.84545455,-27.56363636
2755,RED DEER,AB,-113.792,52.3108,847,5292.440909,3.659604976,22.81363636,-29.45909091
2757,RED DEER A,AB,-113.893,52.1786,905,5623.293333,2.533822887,20.8,-30.6125
2764,SCHULER,AB,-110.086,50.3092,803,5043.55,4.775155821,25.77857143,-29.53571429
2772,SIBBALD WESTGARD,AB,-110.146,51.4247,724,5339.2,3.587331614,25.875,-29.6125
2775,SLEEPY HOLLOW,AB,-112.959,51.4919,811,5503.6375,3.195196383,21.68888889,-30.34444444
2780,SUNDRE GARRINGTON,AB,-114.45,51.9667,991,5467.075,3.266101909,21.18666667,-29.68
2787,THREE HILLS,AB,-113.206,51.7675,857,5239.466667,3.661656477,21.41538462,-28.23076923
2800,SUNDRE A,AB,-114.683,51.7781,1114,5693.94375,2.590763099,19.30555556,-27.75
2827,BOW ISLAND,AB,-111.45,49.7342,817,4658.578571,5.773471564,23.68666667,-28.82666667
2846,BROOKS,AB,-111.849,50.5553,747,4922.514286,4.937325729,21.68888889,-28.98888889
2862,CARDSTON,AB,-113.242,49.1317,1193,4581.95,5.432399237,24.07777778,-25.35555556
2863,CARDSTON,AB,-113.286,49.2006,1136,4633.357143,5.669425967,23.19375,-26.675
2871,CARWAY,AB,-113.376,48.9997,1354,4937.43,4.773850806,22.81666667,-25.85
2877,CLARESHOLM,AB,-113.639,50.0036,1009,4802.87,5.175252866,21.92727273,-27.80909091
2880,CLARESHOLM WATERWORKS,AB,-113.711,50.0189,1008,4598.747826,5.611929517,24.26521739,-27.28695652
2883,COCHRANE,AB,-114.434,51.1969,1332,5201.3625,3.771587568,21.37272727,-27.91818182
2886,CONNELLY CREEK,AB,-114.215,49.6161,1249,4855.627273,4.779075305,22.45454545,-26.85454545
2887,COP UPPER,AB,-114.222,51.0761,1235,4895.7,5.02279437,22.04666667,-26.77333333
2902,FOREMOST,AB,-111.446,49.477,892,4590.908333,5.864190784,24.6,-26.43333333
2912,GLEICHEN,AB,-113.05,50.8833,905,5125.54,4.116652779,22.45294118,-29.12352941
2924,HIGH RIVER,AB,-114.167,50.4833,1219,5067.972222,4.125878443,22.13684211,-28.18421053
2943,LETHBRIDGE CDA,AB,-112.767,49.695,910,4358.478947,6.481882129,24.42083333,-26.275
2955,MEDICINE HAT A,AB,-110.721,50.0189,717,4549.290476,5.941691617,26.39166667,-29.4625
2963,MONARCH,AB,-113.161,49.8144,947,4725.347826,5.322570802,23.084,-28.872
2989,QUEENSTOWN,AB,-112.983,50.6064,940,4875.689474,4.985277865,24.59473684,-27.31578947
3010,STAVELY AAFC,AB,-113.883,50.1833,1364,4657.184615,5.146470818,22.07058824,-25.86470588
3017,SUFFIELD A,AB,-111.183,50.2667,770,4798.932,5.436813187,26.83461538,-29.70384615
3027,UNIVERSITY OF CALGARY,AB,-114.133,51.0833,1112,4906.1375,4.587399291,22.55555556,-27.48888889
3030,VAUXHALL CDA CS,AB,-112.133,50.05,779,4668.229412,5.598209258,23.47777778,-28.59444444
3031,VAUXHALL NORTH,AB,-112.122,50.1825,760,4767.45,5.313480129,23.625,-26.7125
3042,COCHRANE VE6CQC,AB,-114.448,51.2381,1303,5363.65,3.625840752,21.08888889,-26.24444444
3046,SPRINGBANK A,AB,-114.374,51.1031,1201,5477.46,2.994833587,19.41818182,-28.17727273
3049,OKOTOKS,AB,-113.961,50.7292,1081,4899.228,4.822884398,22.20740741,-27.11481481
3070,MASINASIN,AB,-111.654,49.1267,953,4511.58,6.561797878,27.67,-28.25
3072,MILK RIVER,AB,-112.05,49.1333,1050,4790.381818,5.065952126,21.57692308,-26.36153846
