history_id,station_name,province,lon,lat,elev (m),annual_pr (mm)
1268,MIDWAY,BC,-118.772,49.0037,571,466
1273,BILLINGS,BC,-118.228,49.0168,519,550
1278,CASTLEGAR A,BC,-117.632,49.2964,496,738
1280,CASTLEGAR BCHPA DAM,BC,-117.774,49.3434,435,633
1287,CRESTON,BC,-116.518,49.0971,610,641
1289,CRESTON WPCC,BC,-116.529,49.0956,538,564
1290,DEER PARK,BC,-118.05,49.4167,485,510
1291,DUNCAN LAKE DAM,BC,-116.972,50.2387,549,794
1293,FAUQUIER,BC,-118.067,49.8719,490,740
1299,KASLO,BC,-116.921,49.9127,600,874
1305,LISTER,BC,-116.458,49.032,660,574
1307,NAKUSP,BC,-117.8,50.25,457,846
1313,NELSON NE,BC,-117.206,49.5861,570,922
1318,NEW DENVER,BC,-117.37,49.9958,568,856
1325,ROSSLAND MACLEAN,BC,-117.8,49.0833,1085,910
1330,SOUTH SLOCAN,BC,-117.523,49.4601,457,842
1336,WARFIELD,BC,-117.75,49.1,606,753
1343,NELSON RIXEN CREEK,BC,-117.399,49.5123,760,986
1348,BAYNES LAKE KOOTENAY RIVER,BC,-115.221,49.226,800,437
1355,CRANBROOK A,BC,-115.782,49.6122,940,390
1362,ELKO,BC,-115.117,49.3,931,597
1363,FERNIE,BC,-115.073,49.4887,1001,1208
1367,FORDING RIVER COMINCO,BC,-114.855,50.1486,1585,660
1370,FT STEELE DANDY CRK,BC,-115.461,49.5239,856,517
1379,KIMBERLEY PCC,BC,-115.962,49.6316,889,421
1381,KOOTENAY NP KTNY CRSG,BC,-116.051,50.8833,1170,511
1384,KOOTENAY NP WEST GATE,BC,-116.061,50.6308,935,433
1385,MARYSVILLE,BC,-115.957,49.6371,960,441
1392,SPARWOOD,BC,-114.883,49.7453,1138,615
1397,WARDNER KTNY HATCHERY,BC,-115.46,49.4732,760,426
1398,WASA,BC,-115.631,49.8073,970,443
1415,BARRIERE,BC,-120.117,51.1833,415,472
1418,BLUE RIVER A,BC,-119.29,52.129,690,1013
1422,BRIDGE LAKE 2,BC,-120.793,51.5038,1155,584
1424,BUFFALO LAKE,BC,-121.083,51.7086,989,534
1442,CRISS CREEK,BC,-120.728,51.0297,1122,464
1443,DARFIELD,BC,-120.183,51.2918,466,467
1444,EAGLE BAY,BC,-119.217,50.9333,412,692
1452,HEFFLEY CREEK,BC,-120.183,50.9167,683,387
1461,KAMLOOPS A,BC,-120.442,50.7022,345,273
1472,KAMLOOPS VALLEYVIEW,BC,-120.253,50.675,347,288
1483,LUMBY SIGALET RD,BC,-118.767,50.3667,560,626
1490,MCLURE,BC,-120.222,51.0467,381,446
1496,100 MILE HOUSE,BC,-121.303,51.6469,1059,450
1497,100 MILE HOUSE 6NE,BC,-121.217,51.6814,928,557
1499,RED LAKE,BC,-120.8,50.935,1162,501
1504,SALMON ARM 2,BC,-119.283,50.7,396,531
1507,SALMON ARM A,BC,-119.234,50.6856,527,635
1516,SILVER CREEK,BC,-119.35,50.5452,419,556
1529,VAVENBY,BC,-119.778,51.5761,445,463
1534,WESTWOLD,BC,-119.751,50.4689,609,367
1555,BRISCO,BC,-116.258,50.8206,823,448
1558,CARIBOO LODGE,BC,-119.472,52.7195,1096,1085
1566,GLACIER NP ROGERS PASS,BC,-117.517,51.3017,1330,1553
1568,GOLDEN A,BC,-116.982,51.2992,785,476
1571,GOLDSTREAM RIVER,BC,-118.425,51.6297,700,1097
1574,MICA DAM,BC,-118.585,52.0531,579,1389
1579,REVELSTOKE AIRPORT RD,BC,-118.166,50.9533,450,938
1597,GLACIER NP MT FIDELITY,BC,-117.701,51.2382,1890,2066
1606,BALDONNEL,BC,-120.683,56.2333,686,469
1615,CHETWYND A,BC,-121.627,55.6872,610,451
1620,DAWSON CREEK A,BC,-120.182,55.7417,655,470
1630,FORT ST JOHN A,BC,-120.74,56.2381,695,464
1634,GERMANSEN LANDING,BC,-124.701,55.7855,766,519
1643,MACKENZIE A,BC,-123.138,55.3053,690,649
1668,TAYLOR FLATS,BC,-120.688,56.1667,517,443
1679,CASSIAR,BC,-129.833,59.2833,1078,728
1683,DEASE LAKE,BC,-130.011,58.4283,807,433
1686,FORT NELSON A,BC,-122.597,58.8364,382,450
1701,MUNCHO LAKE,BC,-125.767,58.93,837,511
1719,ATLIN,BC,-133.7,59.5667,674,357
1741,PLEASANT CAMP,BC,-136.367,59.45,274,1446
1758,BEAVER CREEK A,YT,-140.868,62.4103,649,414
1769,BURWASH A,YT,-139.05,61.3667,806,290
1772,CARCROSS,YT,-134.698,60.1743,660,273
1773,CARMACKS,YT,-136.3,62.1,525,282
1782,DAWSON A,YT,-139.128,64.0431,370,323
1790,DRURY CREEK,YT,-134.39,62.2019,609,381
1796,FARO A,YT,-133.373,62.2069,716,318
1806,HAINES JUNCTION,YT,-137.58,60.7725,595,336
1815,JOHNSONS CROSSING,YT,-133.3,60.4833,690,369
1818,KLONDIKE,YT,-138.216,64.4539,973,466
1821,KOMAKUK BEACH A,YT,-140.183,69.5833,7,153
1829,MAYO A,YT,-135.867,63.6167,504,321
1832,MAYO ROAD,YT,-135.183,60.8764,655,338
1833,MCQUESTEN,YT,-137.523,63.5942,458,354
1840,OGILVIE RIVER,YT,-138.305,65.3603,597,334
1841,OLD CROW A,YT,-139.839,67.5706,250,264
1845,OTTER FALLS NCPC,YT,-137.05,61.0333,830,302
1848,PELLY RANCH,YT,-137.311,62.83,445,323
1860,SHINGLE POINT A,YT,-137.217,68.95,49,234
1874,SWIFT RIVER,YT,-131.183,60,891,563
1877,TAKHINI RIVER RANCH,YT,-135.573,60.9458,671,226
1879,TESLIN A,YT,-132.736,60.1741,705,340
1885,TUCHITUA,YT,-129.217,60.9333,724,494
1887,WATSON LAKE A,YT,-128.822,60.1165,687,427
1893,WHITEHORSE A,YT,-135.069,60.7095,706,272
1896,WHITEHORSE RIVERDALE,YT,-135.027,60.71,640,286
1912,CAPE PARRY A,NT,-124.717,70.1667,87,154
1925,FORT GOOD HOPE A,NT,-128.651,66.2408,81,280
1930,FORT LIARD A,NT,-123.467,60.235,216,462
1944,FORT RELIANCE,NT,-109.167,62.7167,166,275
1947,FORT RESOLUTION A,NT,-113.69,61.1808,160,301
1951,FORT SIMPSON A,NT,-121.237,61.7603,169,370
1959,FORT SMITH A,NT,-111.962,60.0203,205,354
1968,HAY RIVER A,NT,-115.783,60.8397,165,332
1972,HAY RIVER PARADISE GDNS,NT,-116,60.65,213,367
1979,INUVIK A,NT,-133.483,68.3042,68,252
1992,NICHOLSON PENINSULA,NT,-128.967,69.9333,89,113
1994,NORMAN WELLS A,NT,-126.8,65.2825,73,306
2027,TUKTOYAKTUK,NT,-133,69.45,18,138
2029,TUKTOYAKTUK A,NT,-133.026,69.4333,4,168
2039,WRIGLEY A,NT,-123.437,63.2094,150,335
2042,YELLOWKNIFE A,NT,-114.44,62.4628,206,279
2046,YELLOWKNIFE HYDRO,NT,-114.25,62.6667,159,295
2047,YOHIN,NT,-123.742,61.2419,204,232
2064,BAKER LAKE A,NU,-96.0778,64.2989,19,258
2077,CLINTON POINT,NU,-120.8,69.5833,101,167
2080,KUGLUKTUK A,NU,-115.144,67.8167,23,245
2084,ARVIAT A,NU,-94.0667,61.1,10,277
2086,CORAL HARBOUR A,NU,-83.3594,64.1933,62,300
2106,JENNY LIND ISLAND A,NU,-101.733,68.65,18,116
2107,LADY FRANKLIN POINT A,NU,-113.217,68.5,16,120
2110,PELLY BAY,NU,-89.7167,68.4333,326,232
2117,RANKIN INLET A,NU,-92.1167,62.8167,32,314
2126,SHEPHERD BAY A,NU,-93.4333,68.8167,43,171
2141,ALERT,NU,-62.2806,82.5178,30,152
2155,FOX FIVE,NU,-63.7889,67.5356,584,261
2162,BYRON BAY A,NU,-109.067,68.75,92,119
2163,CAMBRIDGE BAY A,NU,-105.138,69.1081,31,144
2169,CAPE DORSET A,NU,-76.525,64.2303,48,428
2173,CAPE DYER A,NU,-61.6167,66.5833,393,629
2175,CAPE HOOPER,NU,-66.8153,68.4725,390,260
2179,CLYDE A,NU,-68.5167,70.4861,27,221
2186,DEWAR LAKES,NU,-71.1667,68.65,527,250
2193,EUREKA A,NU,-85.9333,79.9833,10,73
2200,GLADMAN POINT A,NU,-97.8,68.6667,14,121
2204,HALL BEACH A,NU,-81.2425,68.7758,9,225
2216,IQALUIT A,NU,-68.55,63.75,34,407
2230,LONGSTAFF BLUFF,NU,-75.1408,68.8986,161,202
2231,MACKAR INLET,NU,-85.6667,68.3,395,192
2238,NANISIVIK A,NU,-84.6167,72.9833,642,283
2252,POND INLET A,NU,-77.9689,72.6894,62,167
2263,RESOLUTE CARS,NU,-94.9694,74.7169,68,149
2274,TALOYOAK A,NU,-93.5833,69.55,27,187
2295,MOULD BAY A,NT,-119.333,76.2333,12,106
2299,SACHS HARBOUR A,NT,-125.267,72,86,134
2311,ANDREW,AB,-112.233,54.0167,610,416
2328,BRETON,AB,-114.483,53.1667,843,527
2332,BRIGHTVIEW,AB,-113.717,52.9833,815,518
2333,BROWNFIELD,AB,-111.469,52.3192,755,459
2342,CALMAR,AB,-113.863,53.2897,720,500
2346,CAMROSE,AB,-112.817,53.05,739,422
2347,CAMROSE 2,AB,-112.8,52.95,738,442
2351,CHAILEY,AB,-111.25,53.55,670,395
2363,CORONATION A,AB,-111.45,52.0667,791,392
2369,DAKOTA WEST,AB,-113.95,52.75,865,515
2385,EDMONTON CITY CENTRE A,AB,-113.518,53.5733,671,457
2387,EDMONTON NAMAO A,AB,-113.467,53.6667,688,440
2394,EDMONTON STONY PLAIN,AB,-114.108,53.5475,766,501
2395,EDMONTON WOODBEND,AB,-113.75,53.4167,671,508
2400,ELK ISLAND NAT PARK,AB,-112.868,53.6828,716,485
2403,ELK POINT,AB,-111.067,53.8833,605,438
2409,FABYAN,AB,-111,52.9667,698,421
