history_id,station_name,province,lon,lat,elev (m),TJul2.5 (degC)
4628,GRETNA (AUT),MB,-97.56,49.0308,253,29.6
4652,MORDEN CDA CS,MB,-98.0839,49.1876,298,30
4674,PILOT MOUND (AUT),MB,-98.9049,49.191,470,28.3
4703,SPRAGUE,MB,-95.5983,49.0236,329,28.9
4742,WINNIPEG THE FORKS,MB,-97.1294,49.8883,230,30.5
4756,CARMAN U OF M CS,MB,-98.0297,49.4981,268,29.4
4770,BERENS RIVER CS,MB,-97.022,52.3597,222,27.1
4825,VICTORIA BEACH (AUT),MB,-96.5667,50.7,220,28
4828,PINAWA,MB,-96.0647,50.1772,268,28.9
4848,DELTA MARSH CS,MB,-98.3822,50.1826,248,28.9
4928,MCCREARY,MB,-99.53,50.7119,351,29.3875
4934,OAKPOINT MARINE,MB,-98.0367,50.4995,250,27.1
4935,SWAN RIVER RCS,MB,-101.233,52.115,335,28.7
4937,FLIN FLON,MB,-101.683,54.6833,304,27.6
4976,ISLAND LAKE A,MB,-94.65,53.85,236,27.4
4988,LYNN LAKE A,MB,-101.076,56.8639,357,27.3225
5016,TADOULE LAKE CS,MB,-98.5017,58.7158,262,26.1
5018,THOMPSON A,MB,-97.8625,55.8033,224,27.6
5029,NORWAY HOUSE A,MB,-97.85,53.95,224,27.2
5040,EAR FALLS (AUT),ON,-93.2214,50.6306,363,28.2
5046,LANSDOWNE HOUSE (AUT),ON,-87.9361,52.1961,253,27.4
5050,PEAWANUCK (AUT),ON,-85.4333,54.9833,53,27.3
5052,PICKLE LAKE (AUT),ON,-90.2178,51.4492,391,27.8
5074,ATIKOKAN (AUT),ON,-91.6281,48.7611,389,28.5
5110,KENORA A,ON,-94.3653,49.7903,410,28.5
5123,SIOUX LOOKOUT A,ON,-91.9,50.1167,383,28.5
5148,CAMERON FALLS (AUT),ON,-88.3447,49.1539,233,27.9
5157,GERALDTON A,ON,-86.9306,49.7828,348,27.8
5204,PUKASKWA (AUT),ON,-86.2947,48.5883,208,22.6
5283,SAULT STE MARIE A,ON,-84.5094,46.4833,192,28.2
5292,WAWA (AUT),ON,-84.7833,47.9667,287,24.4
5329,SUDBURY A,ON,-80.7978,46.6256,348,28.8
5393,TIMMINS VICTOR POWER A,ON,-81.3767,48.5697,295,28.8
5418,NORTH BAY A,ON,-79.4228,46.3636,370,27.5
5431,GORE BAY A,ON,-82.5667,45.8833,194,27.4
5520,KEMPTVILLE CS,ON,-75.6333,45,99,30.1
5595,PETAWAWA A,ON,-77.3167,45.95,130,29.975
5685,COLLINGWOOD,ON,-80.2167,44.5,180,29.1
5721,LAGOON CITY,ON,-79.2167,44.5472,221,27.4
5753,PARRY SOUND CCG,ON,-80.0442,45.3442,176,27.6
5774,BARRIE-ORO,ON,-79.55,44.4833,289,29.0925
5808,WIARTON A,ON,-81.1072,44.7458,222,27.9
5818,EGBERT CS,ON,-79.7833,44.2333,251,29.9
5851,GODERICH,ON,-81.7167,43.7667,214,27.9
5922,DELHI CS,ON,-80.55,42.8667,232,30.7
5945,HARROW CDA AUTO,ON,-82.9,42.0333,191,30.7
5984,PORT WELLER (AUT),ON,-79.2167,43.25,79,29.1
5991,RIDGETOWN RCS,ON,-81.8833,42.45,206,30
6038,WINDSOR A,ON,-82.9556,42.2756,190,31.87
6051,POINT PELEE CS,ON,-82.5189,41.9486,177,29.4
6084,ELORA RCS,ON,-80.4167,43.65,376,29.1
6138,MOUNT FOREST (AUT),ON,-80.75,43.9833,415,28.4
6242,COBOURG (AUT),ON,-78.1667,43.95,78,25.5
6273,HAMILTON A,ON,-79.9342,43.1717,238,30.6
6279,HAMILTON RBG CS,ON,-79.9083,43.2917,102,31.8
6398,POINT PETRE (AUT),ON,-77.15,43.8333,79,25.7
6438,TORONTO CITY,ON,-79.4,43.6667,113,30.9
6520,TRENTON A,ON,-77.5333,44.1167,86,29.4
