history_id,station_name,province,lon,lat,elevation (m),Tmean,Tmin (degC),Tmax (degC),HDD (degC-day)
1398,WASA,BC,-115.631,49.8073,970,6,-22,23,4571
1406,ARMSTRONG HULLCAR,BC,-119.217,50.5,505,8,-20,25,3966
1407,ARMSTRONG NORTH,BC,-119.133,50.4667,373,7,-21,24,4083
1415,BARRIERE,BC,-120.117,51.1833,415,7,-24,25,4097
1418,BLUE RIVER A,BC,-119.29,52.129,690,5,-26,21,4807
1422,BRIDGE LAKE 2,BC,-120.793,51.5038,1155,4,-28,21,5281
1423,BLUE RIVER CS,BC,-119.29,52.129,683,5,-24,20,4714
1424,BUFFALO LAKE,BC,-121.083,51.7086,989,4,-26,20,5132
1442,CRISS CREEK,BC,-120.728,51.0297,1122,3,-25,19,5317
1443,DARFIELD,BC,-120.183,51.2918,466,7,-21,24,3971
1444,EAGLE BAY,BC,-119.217,50.9333,412,7,-18,22,4114
1461,KAMLOOPS A,BC,-120.442,50.7022,345,9,-19,27,3457
1496,100 MILE HOUSE,BC,-121.303,51.6469,1059,4,-30,22,5079
1497,100 MILE HOUSE 6NE,BC,-121.217,51.6814,928,4,-24,20,5054
1499,RED LAKE,BC,-120.8,50.935,1162,5,-22,23,4754
1502,RUTH LAKE,BC,-120.979,51.8447,795,5,-28,21,4890
1507,SALMON ARM A,BC,-119.234,50.6856,527,7,-19,24,4005
1516,SILVER CREEK,BC,-119.35,50.5452,419,8,-18,25,3932
1520,SPENCES BRIDGE NICOLA,BC,-121.315,50.4218,235,10,-20,29,3271
1533,WATCH LAKE NORTH,BC,-121.117,51.4667,1069,4,-29,21,5237
1534,WESTWOLD,BC,-119.751,50.4689,609,7,-25,24,4266
1542,VIDETTE LAKE SHARPE LAKE,BC,-120.839,51.3265,1083,4,-26,21,5070
1566,GLACIER NP ROGERS PASS,BC,-117.517,51.3017,1330,2,-24,18,5954
1568,GOLDEN A,BC,-116.982,51.2992,785,5,-24,22,4700
1571,GOLDSTREAM RIVER,BC,-118.425,51.6297,700,5,-20,22,4749
1579,REVELSTOKE AIRPORT RD,BC,-118.166,50.9533,450,7,-17,23,4003
