history_id,station_name,province,lon,lat,elev (m),TwJul2.5 (degC)
7209,AMQUI,QC,-67.4347,48.4719,166,20.8
7234,CAP-MADELEINE,QC,-65.3247,49.2508,29,19
7248,GASPE A,QC,-64.4781,48.7769,34,20.8
7263,ILES DE LA MADELEINE,QC,-61.7747,47.4253,8,20.4
7265,LA POCATIERE,QC,-70.0319,47.3558,31,22.4
7273,MONT-JOLI A,QC,-68.2167,48.6,52,20.7
7281,NEW CARLISLE 1,QC,-65.3317,48.0119,46,20.7
7294,POINTE-AU-PERE (INRS),QC,-68.4683,48.5139,5,19.4
7299,PORT-MENIER,QC,-64.2933,49.8386,55,18.8
7305,RIVIERE-DU-LOUP,QC,-69.5486,47.8058,147,21.2
7353,CAP-CHAT,QC,-66.6544,49.1092,5,18.6
7357,BAGOTVILLE A,QC,-71,48.3333,159,21
7392,LATERRIERE,QC,-71.1292,48.3072,163,21
7400,NORMANDIN,QC,-72.5469,48.8417,137,21.16
7410,ROBERVAL A,QC,-72.2667,48.5167,179,21.5
7427,LAC BENOIT,QC,-71.1108,51.5325,549,18.4
7430,LA BAIE,QC,-70.9195,48.2981,152,21.6
7452,PARENT,QC,-74.6242,47.9222,445,20.9
7458,LA TUQUE,QC,-72.7875,47.4111,169,21.83
7462,BARRAGE TEMISCAMINGUE,QC,-79.1011,46.7097,181,21.8
7485,ROUYN,QC,-79.0342,48.2458,318,21.1
7489,ROUYN A,QC,-78.8333,48.2167,301,21.6
7503,CHAPAIS,QC,-74.9753,49.8225,381,19.6
7508,CHIBOUGAMAU CHAPAIS A,QC,-74.5333,49.7667,387,19.9
7530,LA GRANDE RIVIERE A,QC,-77.7,53.6333,195,18.2
7534,LA GRANDE IV A,QC,-73.6792,53.7572,306,17.6
7542,MATAGAMI,QC,-77.7931,49.7578,281,20.7
7601,KUUJJUARAPIK A,QC,-77.75,55.2833,12,17.3
7627,KUUJJUAQ A,QC,-68.4167,58.1,40,16.8
7638,SCHEFFERVILLE A,QC,-66.8167,54.8,522,16.3
7652,BAS CARAQUET,NB,-64.8333,47.8022,5,21.9
7656,BATHURST A,NB,-65.7483,47.6292,59,22.1
7671,BUCTOUCHE CDA CS,NB,-64.7681,46.4303,36,22.3
7705,EDMUNDSTON,NB,-68.3245,47.4167,154,21.6
7707,FREDERICTON A,NB,-66.5279,45.8721,21,22
7709,FREDERICTON AQUATIC CENTRE C/S,NB,-66.6547,45.9642,8,23.3
