ilocy,ilocx,annual_pr (mm),rlat,rlon,lat,lon,station_name,ratio,model_vals
611,1076,812.0,-1.939784656908483,13.365091062940595,43.95,-78.2833,PORT HOPE,0.9778583711349498,919.2776489257812
611,1078,870.0,-1.9064779158935732,13.431092717642924,43.9667,-78.1833,COBOURG STP,1.0489922051176936,918.1499633789062
614,1050,867.0,-1.800398130737639,12.202123436529773,44.35,-79.8167,ESSA ONT HYDRO,1.0348132423899046,927.52099609375
614,1061,880.0,-1.7816353282292943,12.679022862516934,44.2625,-79.1614,UDORA,1.0253368066053075,950.12939453125
615,1031,1092.0,-1.7405275891997007,11.373576723747828,44.5833,-80.9333,OWEN SOUND MOE,1.3647574801071805,885.796142578125
615,1052,945.0,-1.7553657751343468,12.285118537724797,44.3758,-79.6897,BARRIE WPCC,1.1292639009357637,926.4094848632812
616,1039,955.0,-1.6839926466563786,11.687924428012861,44.5736,-80.4853,THORNBURY SLAMA,1.160306410559801,911.1655883789062
616,1051,899.0,-1.6950125327746375,12.21516992426389,44.45,-79.7667,MIDHURST,1.074578903896321,926.1642456054688
616,1053,973.0,-1.7233069520001558,12.319592020167152,44.3995,-79.6328,SHANTY BAY,1.1601378094927919,928.4743041992188
616,1093,982.0,-1.7207901030890773,14.101995143280261,43.9833,-77.2167,BLOOMFIELD,1.1597142126060327,937.4047241210938
617,1067,895.0,-1.638869579923607,12.955200183926335,44.3384,-78.7403,LINDSAY FROST,1.0362432428965083,956.1542358398438
617,1074,836.0,-1.6786484471005159,13.239909508912735,44.2333,-78.3667,PETERBOROUGH A,0.9818559149216384,942.5950317382812
617,1086,877.0,-1.643577000572036,13.79787134082701,44.1333,-77.6,TRENTON ONT HYDRO,1.043529873025821,930.382080078125
617,1087,886.0,-1.647919910661428,13.848380542642577,44.1167,-77.5333,TRENTON A,1.052241272914315,932.1483154296875
617,1091,956.0,-1.6694849297937964,14.02564779032217,44.052,-77.3017,MOUNTAINVIEW,1.1310890085380194,935.6808471679688
617,1094,929.0,-1.6734444404721234,14.151747243967074,44.0167,-77.1333,PICTON,1.0926390930302783,941.2513427734375
618,1028,1030.0,-1.6065279350677362,11.219407227076683,44.7458,-81.1072,WIARTON A,1.2871542668431792,885.8766479492188
618,1073,885.0,-1.6032073730143017,13.197082143363279,44.3167,-78.4,PETERBOROUGH DOBBIN TS,1.034307447517736,947.240478515625
618,1074,839.0,-1.6216103317267434,13.262919317046434,44.2833,-78.3167,PETERBOROUGH STP,0.9811308503678018,946.6766357421875
619,1089,881.0,-1.5905322191931184,13.936456970299941,44.1506,-77.3947,BELLEVILLE,1.046207896821493,932.233154296875
620,1074,849.0,-1.5377497104263818,13.254811521010158,44.3667,-78.3,PETERBOROUGH TRENT U,0.984336947539533,954.83984375
620,1082,834.0,-1.5168489583647542,13.6181487294707,44.3,-77.8,CAMPBELLFORD,0.9752352844414247,946.7237548828125
620,1086,853.0,-1.546624435914678,13.773362857051204,44.2333,-77.6,FRANKFORD MOE,1.0098562812429124,935.0957641601562
620,1098,940.0,-1.5414624437518731,14.327793343245277,44.1,-76.85,CRESSY,1.0908209536219895,953.9838256835938
621,1053,1037.0,-1.482639995608944,12.333780086468824,44.6311,-79.5389,COLDWATER WARMINSTER,1.2311480329226712,932.4705200195312
621,1055,1014.0,-1.4773679676374207,12.421809471502018,44.6167,-79.4167,ORILLIA TS,1.1963260739583832,938.3287353515625
623,1047,1015.0,-1.41144826521158,12.072602129751347,44.7578,-79.8753,MIDLAND WATER POLLUTION CONTROL PLANT,1.202047030481886,934.7838745117188
623,1102,962.0,-1.3803565049833204,14.473210899310928,44.2186,-76.5967,KINGSTON A,1.107572536058348,961.5447998046875
624,1103,924.0,-1.3344650417683777,14.547086211470535,44.2439,-76.4806,KINGSTON PUMPING STATION,1.0581397041392988,966.7086181640625
626,1096,968.0,-1.2584926692926106,14.210738204995435,44.4034,-76.9078,CENTREVILLE,1.1402586958475758,939.8068237304688
626,1100,958.0,-1.2409090641082363,14.421303583215595,44.3667,-76.6167,CATARAQUI TS,1.1133948418598092,952.5393676757812
626,1102,1025.0,-1.2516890253689585,14.510561931232607,44.3333,-76.5,GLENBURNIE,1.185711564992406,956.9989013671875
627,1099,965.0,-1.1950455367128394,14.354715693013972,44.4281,-76.6903,HARTINGTON IHD,1.125073832133477,949.5392456054688
629,1055,1056.0,-1.1177117079756498,12.424309244301325,44.9667,-79.3,MUSKOKA A,1.2099998603724704,966.1514892578125
631,1064,1039.0,-1.0562070565687953,12.833953903344092,44.9333,-78.7167,MINDEN,1.1667882614026637,985.802978515625
632,1108,974.0,-0.9970343098368244,14.75008258088223,44.5167,-76.0833,LYNDHURST SHAWMERE,1.1245975275197575,958.8009643554688
633,1053,1207.0,-0.9711249001282717,12.318182553301423,45.1333,-79.4,BEATRICE 2,1.3293497783309882,1005.15869140625
633,1066,987.0,-0.9694185992946747,12.910286121011362,45.0,-78.5833,HALIBURTON A,1.1098520796305513,984.5067138671875
633,1067,1091.0,-0.929498972966488,12.938661086656456,45.0322,-78.5311,HALIBURTON 3,1.2313324064978008,980.8804321289062
634,1010,850.0,-0.9112210432501607,10.426027277235224,45.5833,-82.0167,SOUTH BAYMOUTH,1.0943201767130473,859.8865356445312
636,1114,992.0,-0.8378436542802289,15.014147783762358,44.6,-75.6667,BROCKVILLE PCC,1.1361696316743188,966.5740356445312
638,1055,1008.0,-0.7230909401015673,12.429652369700507,45.35,-79.1667,HUNTSVILLE WPCP,1.106625840387843,1008.3849487304688
639,1000,825.0,-0.6883970505338951,9.992710779507949,45.8833,-82.5667,GORE BAY A,1.0662556250394775,856.5628662109375
640,1059,1182.0,-0.6480473584073168,12.604555155685231,45.3833,-78.9,DWIGHT,1.3168891458587315,993.6533203125
642,1043,1136.0,-0.5742533922365206,11.880619147076752,45.6167,-79.8833,DUNCHURCH,1.2720667089071833,988.6329345703125
642,1102,904.0,-0.5311247041004096,14.49877022431523,45.0322,-76.2528,DRUMMOND CENTRE,1.089181004533178,918.8296508789062
643,1078,851.0,-0.5162651591519796,13.42837124304271,45.3167,-77.7167,PURDY,1.0537151893246925,894.0729370117188
644,1079,848.0,-0.4506207902516063,13.484330171813236,45.3667,-77.6167,COMBERMERE,1.0615528261138805,884.34326171875
